oldID,District,Expulsion_w_services,EWS_perc,Expulsion_no_services,ENS_perc,In_school,IS_perc,Out_of_school,OOS_perc,Transfer_to_alt,TTA_perc,total
080431200220000,Galena USD 120,,0.0,1,8.3,,0.0,11,91.7,,0.0,12
080432050260000,Warren CUSD 205,,0.0,,0.0,42,82.4,9,17.6,,0.0,51
080432060260000,Stockton CUSD 206,,0.0,,0.0,42,62.7,25,37.3,,0.0,67
080432100260000,River Ridge CUSD 210,,0.0,,0.0,45,64.3,25,35.7,,0.0,70
080432110260000,Scales Mound CUSD 211,,0.0,,0.0,,0.0,2,100.0,,0.0,2
080891450220000,Freeport SD 145,,0.0,24,0.7,2228,64.2,1208,34.8,8,0.2,3468
080892000260000,Pearl City CUSD 200,,0.0,,0.0,,0.0,2,100.0,,0.0,2
080892010260000,Dakota CUSD 201,,0.0,,0.0,20,44.4,25,55.6,,0.0,45
080892020260000,Lena Winslow CUSD 202,,0.0,,0.0,34,77.3,10,22.7,,0.0,44
080892030260000,Orangeville CUSD 203,,0.0,,0.0,50,83.3,10,16.7,,0.0,60
090100010260000,Fisher CUSD 1,,0.0,,0.0,4,66.7,2,33.3,,0.0,6
090100030260000,Mahomet-Seymour CUSD 3,58,42.6,,0.0,22,16.2,56,41.2,,0.0,136
090100040260000,Champaign CUSD 4,14,0.9,1,0.1,46,2.9,920,57.2,627,39.0,1608
090100070260000,Tolono CUSD 7,,0.0,,0.0,3,5.9,48,94.1,,0.0,51
090100080260000,Heritage CUSD 8,,0.0,,0.0,,0.0,11,100.0,,0.0,11
090101160220000,Urbana SD 116,,0.0,4,0.2,1790,72.3,681,27.5,,0.0,2475
090101300040000,Thomasboro CCSD 130,,0.0,,0.0,2,33.3,4,66.7,,0.0,6
090101370020000,Rantoul City SD 137,,0.0,4,1.0,2,0.5,398,98.5,,0.0,404
090101690040000,St Joseph CCSD 169,,0.0,,0.0,,0.0,3,100.0,,0.0,3
090101880040000,Gifford CCSD 188,,0.0,,0.0,6,75.0,2,25.0,,0.0,8
090101930170000,Rantoul Township HSD 193,,0.0,,0.0,394,71.4,158,28.6,,0.0,552
090101970040000,Prairieview-Ogden CCSD 197,,0.0,,0.0,3,75.0,1,25.0,,0.0,4
090103050160000,St Joseph Ogden CHSD 305,,0.0,,0.0,11,40.7,16,59.3,,0.0,27
090270050260000,Gibson City-Melvin-Sibley CUSD 5,,0.0,,0.0,4,9.5,38,90.5,,0.0,42
090270100260000,Paxton-Buckley-Loda CUD 10,,0.0,,0.0,,0.0,46,100.0,,0.0,46
11012002C260000,Marshall CUSD 2C,3,3.0,,0.0,28,28.3,68,68.7,,0.0,99
11012003C260000,Martinsville CUSD 3C,,0.0,,0.0,2,10.0,18,90.0,,0.0,20
11012004C260000,Casey-Westfield CUSD 4C,,0.0,,0.0,74,83.1,15,16.9,,0.0,89
110150010260000,Charleston CUSD 1,,0.0,,0.0,23,14.1,140,85.9,,0.0,163
110150020260000,Mattoon CUSD 2,,0.0,,0.0,550,84.1,104,15.9,,0.0,654
110150050260000,Oakland CUSD 5,1,100.0,,0.0,,0.0,,0.0,,0.0,1
110180030260000,Neoga CUSD 3,,0.0,,0.0,27,69.2,12,30.8,,0.0,39
110180770260000,Cumberland CUSD 77,,0.0,4,5.8,48,69.6,17,24.6,,0.0,69
110213010260000,Tuscola CUSD 301,,0.0,,0.0,23,62.2,14,37.8,,0.0,37
110213020260000,Villa Grove CUSD 302,,0.0,,0.0,,0.0,17,100.0,,0.0,17
110213050260000,Arthur CUSD 305,,0.0,,0.0,30,65.2,16,34.8,,0.0,46
110213060260000,Arcola CUSD 306,,0.0,,0.0,5,14.3,30,85.7,,0.0,35
110230010260000,Shiloh CUSD 1,,0.0,,0.0,63,70.0,27,30.0,,0.0,90
110230030260000,Kansas CUSD 3,,0.0,,0.0,,0.0,7,100.0,,0.0,7
110230040260000,Paris CUSD 4,,0.0,,0.0,9,90.0,1,10.0,,0.0,10
110230060260000,Edgar County CUD 6,,0.0,1,7.1,4,28.6,9,64.3,,0.0,14
110230950250000,Paris-Union SD 95,,0.0,,0.0,135,84.9,24,15.1,,0.0,159
110703000260000,Sullivan CUSD 300,,0.0,2,1.3,92,60.1,59,38.6,,0.0,153
110703020260000,Okaw Valley CUSD 302,,0.0,,0.0,6,33.3,12,66.7,,0.0,18
110870010260000,Windsor CUSD 1,,0.0,,0.0,14,50.0,14,50.0,,0.0,28
11087003A260000,Cowden-Herrick CUSD 3A,,0.0,,0.0,16,88.9,2,11.1,,0.0,18
110870040260000,Shelbyville CUSD 4,,0.0,,0.0,8,16.3,41,83.7,,0.0,49
11087005A260000,Stewardson-Strasburg CUD 5A,,0.0,,0.0,4,50.0,4,50.0,,0.0,8
110870210260000,Central A & M CUD 21,,0.0,,0.0,75,73.5,27,26.5,,0.0,102
120130100260000,Clay City CUSD 10,,0.0,,0.0,5,62.5,3,37.5,,0.0,8
120130250260000,North Clay CUSD 25,,0.0,,0.0,20,87.0,3,13.0,,0.0,23
120130350260000,Flora CUSD 35,,0.0,,0.0,125,44.2,158,55.8,,0.0,283
120170010260000,Hutsonville CUSD 1,2,8.3,4,16.7,7,29.2,11,45.8,,0.0,24
120170020260000,Robinson CUSD 2,,0.0,1,1.2,37,44.6,45,54.2,,0.0,83
120170030260000,Palestine CUSD 3,,0.0,,0.0,3,75.0,1,25.0,,0.0,4
120170040260000,Oblong CUSD 4,,0.0,,0.0,28,66.7,14,33.3,,0.0,42
120400010260000,Jasper County CUD 1,,0.0,,0.0,95,74.2,33,25.8,,0.0,128
120510100260000,Red Hill CUSD 10,,0.0,,0.0,78,68.4,36,31.6,,0.0,114
120510200260000,Lawrence County CUD 20,,0.0,,0.0,158,84.0,30,16.0,,0.0,188
120800010260000,Richland County CUSD 1,,0.0,,0.0,109,37.6,181,62.4,,0.0,290
130140010260000,Carlyle CUSD 1,,0.0,1,0.5,158,82.7,32,16.8,,0.0,191
130140030260000,Wesclin CUSD 3,,0.0,,0.0,15,34.9,28,65.1,,0.0,43
130140120040000,Breese ESD 12,,0.0,,0.0,15,40.5,22,59.5,,0.0,37
130140210020000,Aviston SD 21,,0.0,,0.0,4,44.4,5,55.6,,0.0,9
130140710160000,Central CHSD 71,,0.0,,0.0,66,100.0,,0.0,,0.0,66
130410010260000,Waltonville CUSD 1,,0.0,,0.0,47,73.4,17,26.6,,0.0,64
130410020040000,Rome CCSD 2,,0.0,,0.0,,0.0,19,100.0,,0.0,19
130410050040000,Opdyke-Belle-Rive CCSD 5,,0.0,,0.0,24,82.8,4,13.8,1,3.4,29
130410060040000,Grand Prairie CCSD 6,,0.0,,0.0,2,28.6,5,71.4,,0.0,7
130410120040000,McClellan CCSD 12,,0.0,1,100.0,,0.0,,0.0,,0.0,1
130410790020000,Summersville SD 79,,0.0,,0.0,,0.0,6,100.0,,0.0,6
130410800020000,Mount Vernon SD 80,,0.0,,0.0,603,72.7,227,27.3,,0.0,830
130410820020000,Bethel SD 82,,0.0,,0.0,10,76.9,3,23.1,,0.0,13
130410990040000,Farrington CCSD 99,,0.0,,0.0,3,37.5,5,62.5,,0.0,8
130412010170000,Mt Vernon Twp HSD 201,,0.0,1,0.1,741,66.6,370,33.3,,0.0,1112
130412040170000,Webber Twp HSD 204,,0.0,,0.0,,0.0,9,100.0,,0.0,9
