distID,District,County,white_district,black_district,hispanic_district,asian_district,nathawaiian_district,NativeAmerica_district,multi_district,lep_district,iiep_district,lowInc_district,home_district
160194280260000,DeKalb CUSD 428,Dekalb,51.8,17.1,24.3,1.7,0,0.4,4.6,10.3,15.6,58.7,2.2
070161220020000,Ridgeland SD 122,Cook,68.1,4.5,24,1.5,0.1,0.1,1.7,28.1,15.2,72.2,1.7
330942380260000,Monmouth-Roseville CUSD 238,Warren,63.9,3.6,23.7,3.1,0.2,0.2,5.2,16.2,10.6,74.5,0.3
490810300170000,United Twp HSD 30,Rock Island,59.2,10.9,23.6,1.9,0.1,0.2,4.3,2.8,13.3,61.2,1.4
070161240020000,Evergreen Park ESD 124,Cook,46.9,25.5,23.5,0.9,0,0.1,3.1,9.2,14.4,47.3,0.9
190220930040000,CCSD 93,Dupage,46.7,7,23.2,19.7,0.1,0.3,3.2,15.2,14.3,42.5,0.5
440631650030000,Marengo-Union E Cons D 165,McHenry,72.4,1.4,23.2,0.2,0.2,0.1,2.5,6.7,13.3,56.8,1.6
060160860020000,Union Ridge SD 86,Cook,66.7,0,22.9,9.3,0.2,0.2,0.8,30.5,11.3,47.5,0
340490370020000,Gavin SD 37,Lake,72.9,2.8,22.8,0.7,0.1,0.7,0,6.5,14.7,62.1,1
560992020220000,Plainfield SD 202,Will,58.7,9.3,22.3,5.7,0.1,0.4,3.6,6.1,14.5,27.4,0.9
070161540020000,Thornton SD 154,Cook,52.2,23,22.2,0,1.3,0,1.3,15.2,10.9,27.8,2.6
041013200260000,County of Winnebago SD 320,Winnebago,62,4.8,22,0.5,0,0.2,10.5,5.2,12.4,67.7,0.2
050162110170000,Township HSD 211,Cook,51.4,6.2,21.8,17.5,0.2,0.3,2.5,4.3,10.4,34.9,1.7
070161570020000,Hoover-Schrum Memorial SD 157,Cook,1.9,74.5,21.8,0.4,0,0,1.4,11.2,12.9,92,3.2
090101370020000,Rantoul City SD 137,Champaign,37.3,30.1,21.7,0.5,0.4,0.2,9.8,15.7,18,99.5,4.7
070162290160000,Oak Lawn CHSD 229,Cook,71.1,5.6,21.6,1.4,0.1,0.2,0,4.8,13,40.6,1.6
150169010250000,Horizon Science Acad-Belmont,Cook,1.4,75.1,21.6,0,0,0,1.9,14.4,11.6,95.6,3.3
050162070170000,Maine Township HSD 207,Cook,59.5,2.4,21.4,14.3,0.1,0.6,1.7,4.8,13.3,29.1,1
440630150040000,McHenry CCSD 15,McHenry,74.9,0.8,21.4,1.3,0.1,0.2,1.4,11.7,15.9,45.6,2.1
070162280160000,Bremen CHSD 228,Cook,37.4,36.3,21.2,1.9,0.1,0.1,3.1,2.2,16.1,45.8,1.4
470983010170000,Rock Falls Twp HSD 301,Whiteside,74,1.8,21.2,0.2,0,0.2,2.6,0.2,17.1,58.5,3.2
190220870170000,Glenbard Twp HSD 87,Dupage,52.8,8,21.1,14.5,0.1,0.6,2.9,3.5,12.8,34.6,0.9
440630190240000,Alden Hebron SD 19,McHenry,76.3,0.7,21.1,1.3,0,0,0.7,7.9,9.9,37.1,0.4
050160230020000,Prospect Heights SD 23,Cook,65.9,2.1,21,9,0.1,0.2,1.7,22.5,11.2,36.3,0.9
410570100260000,Collinsville CUSD 10,Madison,62.8,11.8,20.6,0.6,0.1,0.2,4,7,15.8,62.9,2.9
340490410040000,Lake Villa CCSD 41,Lake,67.6,3.9,20.3,3.9,0.5,0.1,3.6,9,16.3,29.5,0.4
240320540020000,Morris SD 54,Grundy,75.4,1.2,20.2,0.7,0.1,0.1,2.3,5.9,13.3,49.1,1.5
190220610020000,Darien SD 61,Dupage,54.5,14.3,20,8.3,0.1,0.1,2.7,13.1,15.8,44.4,2.7
340491270160000,Grayslake CHSD 127,Lake,66.1,3.3,20,6.8,0.2,0.2,3.4,2.7,13.7,11.7,0.6
190220110020000,Medinah SD 11,Dupage,63.3,5.9,19.9,5,0.2,0,5.6,16.6,12.6,36.5,0.5
070162150170000,Thornton Fractional Twp HSD 215,Cook,10.3,66.6,19.7,0.4,0,0.1,2.8,2.4,10.7,72.5,2.4
240322010040000,Minooka CCSD 201,Grundy,70.9,4.4,19.7,1.2,0,0.2,3.6,2.7,12.2,29.7,0.2
070161720020000,Sandridge SD 172,Cook,21,47.3,19.6,0,0,0,12.1,7.9,20,75.5,1.5
050160650040000,Evanston CCSD 65,Cook,43.7,24.3,19.4,4.5,0.1,0.2,7.8,12.1,12.8,43,3.3
280065020170000,Hall HSD 502,Bureau,74.1,1.3,19.4,0.5,0,0,4.7,7.3,17.6,54.4,2.1
340491240160000,Grant CHSD 124,Lake,68.4,4.3,19.4,4.5,0.3,0.2,2.9,1.7,11.2,37.2,0.4
350500440020000,Streator ESD 44,La Salle,70,4.4,19.2,0.6,0,0.1,5.8,8,23.3,72,2.1
060162340160000,Ridgewood CHSD 234,Cook,74.3,0.6,19,4.2,0,0.1,1.8,5.1,7.9,31.8,0.5
070161420020000,Forest Ridge SD 142,Cook,69.7,6.7,19,2.1,0.1,0.3,2.2,7,15.8,44.6,1.3
440630180040000,Riley CCSD 18,McHenry,78.1,0,19,1.3,0,0,1.6,3.5,16.5,29,0.3
070161450020000,Arbor Park SD 145,Cook,51,13.3,18.9,6.9,0.1,0.4,9.3,12.7,14.3,42,1
340490010020000,Winthrop Harbor SD 1,Lake,65.5,3.9,18.9,2.5,0,0.5,8.8,0.9,13.3,39.6,0.4
050160690020000,Skokie SD 69,Cook,36.8,10.3,18.8,28,0.1,0.2,5.9,24.5,10.6,63,2
320460010260000,Momence CUSD 1,Kankakee,54.3,16.1,18.7,0.5,0.1,0,10.4,8.1,14,68.6,1.8
190222010260000,CUSD 201,Dupage,66.1,5.5,18.5,5.3,0.1,0,4.6,8.1,16.4,41.8,0.8
440630470040000,Crystal Lake CCSD 47,McHenry,73.1,1.7,18.5,3.1,0,0.2,3.4,7.7,12.6,31.4,0.8
070161320020000,Calumet Public SD 132,Cook,1.8,78.9,18.4,0.1,0,0.3,0.6,10.1,12,91.7,0.3
070161090020000,Indian Springs SD 109,Cook,61.2,17.4,18.3,1.3,0.1,0.2,1.5,24.2,12.9,50.4,1.4
060162040170000,Lyons Twp HSD 204,Cook,73.9,3.8,18.1,2,0,0.2,2,2.5,10.7,15.8,0.4
050160630020000,East Maine SD 63,Cook,38.8,4,18,31.2,0.2,3.8,4.1,34.7,12,60.3,1.5
280372290260000,Kewanee CUSD 229,Henry,69.9,9.4,18,0.3,0,0.2,2.3,5.3,18,77.7,2.9
340491140020000,Fox Lake GSD 114,Lake,76.1,3,17.7,0.8,0,0.1,2.3,7.1,12,59.4,13.8
540920110260000,Hoopeston Area CUSD 11,Vermilion,78.9,0.5,17.5,0.3,0.2,0.2,2.4,0.8,17.4,68.7,2.4
340492200260000,Barrington CUSD 220,Lake,65.2,1.5,17.4,12.4,0,0,3.5,7.4,17.9,22.3,0.3
470711610040000,Creston CCSD 161,Ogle,70.6,6.4,17.4,0,0,0,5.5,0,3.7,43.1,4.6
