"distID","DistID","districtNAME","District.x","County","white_district","black_district","hispanic_district","asian_district","nathawaiian_district","NativeAmerica_district","multi_district","lep_district","iiep_district","lowInc_district","home_district","distEnroll","Expulsion_w_services","EWS_perc","Expulsion_no_services","ENS_perc","In_school","IS_perc","Out_of_school","OOS_perc","Transfer_to_alt","TTA_perc","total","total_perc","test_district"
"340491140020000","40491140020000","Fox Lake GSD 114","Fox Lake GSD 114","Lake",76.1,3,17.7,0.8,0,0.1,2.3,7.1,12,59.4,13.8,778,,0,,0,21,58.3,15,41.7,,0,36,4.6,23
"340491160260000","40491160260000","Round Lake CUSD 116","Round Lake CUSD 116","Lake",15.8,6.8,73,1.6,0.1,0.4,2.4,26.1,14.6,68.3,1.3,7353,,0,21,1.1,979,51.7,894,47.2,,0,1894,25.8,82.2
"340491170160000","40491170160000","CHSD 117","CHSD 117","Lake",79.9,3.4,10.6,2.4,0.2,0.2,3.2,0.5,12.9,17.4,0.5,2817,,0,,0,153,53.3,133,46.3,1,0.3,287,10.2,17.2
"340491180260000","40491180260000","Wauconda CUSD 118","Wauconda CUSD 118","Lake",64.4,1.7,27.6,3.8,0.1,0.4,2,11.4,13.3,33.8,0.5,4688,,0,,0,296,66.2,151,33.8,,0,447,9.5,31.3
"340491200130000","40491200130000","Mundelein Cons HSD 120","Mundelein Cons HSD 120","Lake",47.5,2.5,42.5,5.3,0,0,2.2,4.3,13.2,39,1.3,2120,,0,,0,45,39.1,70,60.9,,0,115,5.4,47.2
"340491210170000","40491210170000","Warren Twp HSD 121","Warren Twp HSD 121","Lake",47.4,10.6,27.6,9.9,0,0.3,4.3,2.6,11.8,21.8,0.8,4359,2,0.4,6,1.3,1,0.2,438,98,,0,447,10.3,42.5
"340491240160000","40491240160000","Grant CHSD 124","Grant CHSD 124","Lake",68.4,4.3,19.4,4.5,0.3,0.2,2.9,1.7,11.2,37.2,0.4,1950,,0,1,0.1,907,79.1,239,20.8,,0,1147,58.8,26.6
"340491250130000","40491250130000","Adlai E Stevenson HSD 125","Adlai E Stevenson HSD 125","Lake",66.2,1.8,7.1,21.9,0.1,0.2,2.7,1.9,6.2,0.1,0.1,3906,,0,,0,6,8.5,65,91.5,,0,71,1.8,11.6
"340491270160000","40491270160000","Grayslake CHSD 127","Grayslake CHSD 127","Lake",66.1,3.3,20,6.8,0.2,0.2,3.4,2.7,13.7,11.7,0.6,3087,,0,,0,386,77.8,110,22.2,,0,496,16.1,26.7
"340491280160000","40491280160000","CHSD 128","CHSD 128","Lake",73.9,1.9,9.8,11.8,0.1,0.2,2.3,0.9,12.1,8.2,0.3,3325,,0,,0,7,14.9,40,85.1,,0,47,1.4,14
"340492200260000","40492200260000","Barrington CUSD 220","Barrington CUSD 220","Lake",65.2,1.5,17.4,12.4,0,0,3.5,7.4,17.9,22.3,0.3,8910,,0,,0,17,17.3,81,82.7,,0,98,1.1,22.4
"440630030030000","40630030030000","Fox River Grove Cons SD 3","Fox River Grove Cons SD 3","McHenry",82.3,0.2,12.2,1.9,0,0,3.4,8.6,16.8,18.3,0,475,,0,,0,14,70,6,30,,0,20,4.2,15.8
"440630150040000","40630150040000","McHenry CCSD 15","McHenry CCSD 15","McHenry",74.9,0.8,21.4,1.3,0.1,0.2,1.4,11.7,15.9,45.6,2.1,4654,,0,,0,74,54,63,46,,0,137,2.9,23.6
"440630260040000","40630260040000","Cary CCSD 26","Cary CCSD 26","McHenry",77.1,0.6,16.4,1.8,0.2,0.5,3.5,7.2,14.7,24.7,0.6,2489,,0,,0,28,73.7,10,26.3,,0,38,1.5,20.5
"440630470040000","40630470040000","Crystal Lake CCSD 47","Crystal Lake CCSD 47","McHenry",73.1,1.7,18.5,3.1,0,0.2,3.4,7.7,12.6,31.4,0.8,7765,,0,,0,65,34.4,124,65.6,,0,189,2.4,23.6
"440631550160000","40631550160000","CHSD 155","CHSD 155","McHenry",85.3,1.2,9.6,2.5,0,0.3,1,1,11.5,19.7,0.5,6634,,0,1,0.1,644,62.8,381,37.1,,0,1026,15.5,11.8
"440631560160000","40631560160000","McHenry CHSD 156","McHenry CHSD 156","McHenry",80.3,0.8,15.3,1.1,0,0.4,2.2,1.9,13.8,32.6,1,2370,,0,2,3.5,22,38.6,33,57.9,,0,57,2.4,18.3
"440631580220000","40631580220000","Cons SD 158","Cons SD 158","McHenry",76.5,1.9,10.1,5.9,0.1,0.4,5.1,2.9,12.4,16.7,1,9475,,0,,0,116,73.4,42,26.6,,0,158,1.7,17.1
