zipcode,minority,companies_name,name,bi_policy_premium,pd_policy_premium,state_risk,white_non_hisp_pct,risk_difference,combined_premium
63361,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,317,141.0,133.7718799,95.7,324.2281201,458.0
63362,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,291,159.0,184.1554893,89.7,265.8445107,450.0
63363,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,317,141.0,147.5080201,96.7,310.4919799,458.0
63366,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,308,196.0,210.1405512,91.3,293.8594488,504.0
63367,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,308,196.0,217.8595046,88.2,286.14049539999996,504.0
63368,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,308,196.0,229.5337499,85.9,274.4662501,504.0
63369,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,291,159.0,193.2491405,99.8,256.7508595,450.0
63373,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,308,196.0,186.4252968,96.1,317.5747032,504.0
63376,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,308,196.0,208.2647777,89.2,295.73522230000003,504.0
63377,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,291,159.0,170.2325488,98.1,279.7674512,450.0
63379,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,291,159.0,185.8818062,94.1,264.1181938,450.0
63381,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,291,159.0,194.9678441,100.0,255.0321559,450.0
63382,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,139.8224989,82.7,256.1775011,396.0
63383,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,291,159.0,173.0920372,91.7,276.9079628,450.0
63384,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,317,141.0,175.7237332,95.3,282.27626680000003,458.0
63385,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,308,196.0,192.4924673,91.2,311.5075327,504.0
63386,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,308,196.0,183.6788701,96.8,320.32112989999996,504.0
63388,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,111.5130669,97.8,284.4869331,396.0
63389,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,291,159.0,195.2777538,93.7,254.7222462,450.0
63390,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,291,159.0,169.787417,90.6,280.212583,450.0
63401,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,176.7345217,89.1,219.2654783,396.0
63430,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,95.37372113,96.2,300.62627886999996,396.0
63431,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,97.67331065,93.4,298.32668935,396.0
63432,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,72.01136136,100.0,323.98863864,396.0
63433,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,313.6372951,100.0,82.36270489999998,396.0
63434,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,113.1737827,94.6,282.8262173,396.0
63435,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,148.6283822,95.9,247.3716178,396.0
